timestamp,open,high,low,close,volume
2019-07-23,243.1000,246.9400,243.1000,245.0600,374900
2019-07-22,246.0100,246.1800,241.8273,242.9600,407600
2019-07-19,250.7900,252.5000,243.4432,243.7800,642400
2019-07-18,251.8600,251.9100,247.7600,247.9900,651900
2019-07-17,257.0700,257.2367,250.5400,252.4700,416900
2019-07-16,257.2200,260.7400,256.4200,259.3800,307700
2019-07-15,261.1700,262.2400,256.0800,256.2400,406300
2019-07-12,264.7900,267.1000,259.3400,259.8700,361900
2019-07-11,263.9000,264.0000,260.0100,263.3900,317100
2019-07-10,261.3900,264.6086,259.1400,262.6200,377100
2019-07-09,254.4900,258.5300,254.0800,257.5500,300000
2019-07-08,260.3100,260.8900,256.8000,257.7900,380600
2019-07-05,263.0200,266.2250,258.6200,261.5000,358500
2019-07-03,262.8900,265.7400,260.4100,265.5700,372600
2019-07-02,263.3900,266.5000,260.5100,261.6900,453400
2019-07-01,263.7600,265.2800,261.3600,262.7100,504700
2019-06-28,262.6400,263.0000,254.5000,255.7700,389900
2019-06-27,258.4900,261.9400,256.9500,261.3500,337500
2019-06-26,254.9001,259.6030,254.6200,256.5400,397200
2019-06-25,259.7600,260.0000,252.6700,254.6000,457200
2019-06-24,264.1800,264.6800,261.1500,261.9300,303600
2019-06-21,264.7000,266.8300,261.9600,262.4300,602600
2019-06-20,265.0600,270.0500,263.5000,265.2400,489000
2019-06-19,266.2000,267.4200,258.1350,259.9600,739900
2019-06-18,266.2000,270.5287,265.2100,266.1300,424100
2019-06-17,270.0000,270.0000,262.0300,263.7500,517400
2019-06-14,265.1800,267.3930,264.2450,265.9400,967000
2019-06-13,268.0000,269.8400,266.5570,267.3800,548300
2019-06-12,266.8600,268.6200,265.5300,267.5300,690100
2019-06-11,267.8200,270.3800,264.9950,269.8000,751500
2019-06-10,260.6500,264.2900,257.4900,262.8400,674200
2019-06-07,253.8400,260.4400,253.1750,258.2600,573000
2019-06-06,246.2700,253.7400,244.2200,252.4500,518200
2019-06-05,253.4200,254.4400,243.2000,245.5700,676400
2019-06-04,247.9000,251.2300,243.5600,250.9100,699000
2019-06-03,249.5800,250.9200,242.8300,244.6600,840000
2019-05-31,246.5000,253.6264,246.0000,248.6100,698800
2019-05-30,247.9600,252.6500,246.7670,249.2500,673600
2019-05-29,248.2500,251.9200,246.1600,248.4400,752100
2019-05-28,256.3500,258.6800,250.6400,250.8300,2369400
2019-05-24,260.8300,262.0000,254.3300,255.9800,885300
2019-05-23,256.4600,260.8600,253.0225,260.1700,798800
2019-05-22,261.9800,262.6500,256.2650,260.7800,848200
2019-05-21,260.4400,264.1900,258.3890,262.6200,748800
2019-05-20,262.0000,262.0000,254.2040,257.6200,965900
2019-05-17,274.2700,274.5000,264.1250,266.5300,1032800
2019-05-16,275.0000,282.0057,272.7100,279.1100,1567300
2019-05-15,261.4900,266.9320,259.0200,262.0400,726900
2019-05-14,258.5518,264.0450,255.3600,262.3700,928700
2019-05-13,253.8900,257.0300,252.3300,254.5700,1116800
2019-05-10,262.1000,265.6050,258.2200,264.4700,991100
2019-05-09,257.9700,262.7000,254.3500,261.6700,820600
2019-05-08,264.1375,265.5200,250.2000,264.4100,1036200
2019-05-07,277.8700,278.6700,260.4800,264.1700,1710600
2019-05-06,272.1200,282.2700,271.2927,281.4200,823900
2019-05-03,280.0000,289.6850,278.9000,285.4400,787600
2019-05-02,281.8163,289.1900,278.3800,280.4000,797000
2019-05-01,286.3800,288.5000,284.1700,285.3700,502900
2019-04-30,283.6500,287.3200,281.4000,284.5300,626500
2019-04-29,281.7900,284.9200,281.0900,283.6500,371000
2019-04-26,277.0500,282.9500,275.2100,280.7300,643100
2019-04-25,273.8000,278.9400,271.4600,277.9700,691600
2019-04-24,271.6001,274.4700,267.3900,274.1800,448500
2019-04-23,268.0000,274.5721,267.8100,274.1400,650500
2019-04-22,262.9000,268.8100,262.0120,268.0400,315300
2019-04-18,268.4600,269.0000,263.3700,266.0100,488400
2019-04-17,267.4800,271.2000,266.4300,268.2800,569200
2019-04-16,272.4000,272.8700,264.9000,265.7400,465600
2019-04-15,273.6300,274.4000,267.6100,270.5400,383000
2019-04-12,275.4400,278.1000,273.1400,274.4500,469800
2019-04-11,273.5400,273.8700,271.0100,273.6100,330800
2019-04-10,276.2200,276.5900,269.0400,272.9700,844500
2019-04-09,277.9400,280.8400,274.7626,276.7200,666900
2019-04-08,278.0000,278.9700,271.0000,278.7300,1009800
2019-04-05,271.6500,282.7126,270.0720,279.6800,1147000
2019-04-04,267.0000,270.9300,266.5600,269.7600,770900
2019-04-03,259.0100,270.1500,258.6400,267.5700,1071600
2019-04-02,254.5900,259.1300,252.7400,258.2900,700900
2019-04-01,244.8800,257.3000,243.8000,256.0100,1030100
2019-03-29,239.3400,241.7300,237.6600,241.4500,674700
2019-03-28,235.3800,236.6750,232.3753,236.2700,323500
2019-03-27,236.1700,238.3500,234.7750,235.2400,527400
2019-03-26,234.3600,239.1694,234.2500,235.3900,466900
2019-03-25,231.5100,234.9167,228.8900,233.7400,668100
2019-03-22,238.2100,239.3200,231.8600,232.3500,493000
2019-03-21,236.5500,241.5900,235.9400,240.0200,707800
2019-03-20,240.6800,242.9900,235.9250,237.0000,664600
2019-03-19,245.0000,245.9700,241.1100,244.2900,501200
2019-03-18,244.7745,245.9500,239.5000,243.4800,459700
2019-03-15,240.5000,244.0866,240.5000,242.3500,779600
2019-03-14,237.4000,239.5357,233.7600,238.5700,450600
2019-03-13,232.0600,243.0900,230.0930,240.8600,786500
2019-03-12,233.5500,234.9900,229.9502,232.7300,512200
2019-03-11,229.2600,235.5850,228.9200,232.9500,628100
2019-03-08,220.6100,230.9900,219.0000,226.5700,628000
2019-03-07,227.2400,229.2800,223.6800,224.4400,773000
2019-03-06,229.2132,234.1700,227.4200,231.7900,676300
2019-03-05,218.3000,230.5800,218.3000,228.9700,957900
2019-03-04,219.0000,219.0850,213.2863,218.9600,883500
2019-03-01,225.0000,225.6680,212.3400,217.3800,1287400
2019-02-28,225.0300,225.9103,221.0000,223.2200,758300
2019-02-27,224.6300,226.7600,223.2617,225.6200,524600
2019-02-26,221.4200,226.3800,220.2450,224.8300,684200
2019-02-25,227.2300,229.5800,220.7000,224.1900,1420000
2019-02-22,221.0000,224.9800,220.4700,222.6500,1270300
2019-02-21,229.3000,230.0000,216.3100,218.9100,2689300
